0,Nasaud,Bistrita-Nasaud,47.2921849,24.3973258,1349829,LARGE,15,twice-a-week
1,Alba Iulia,Alba,46.0732725,23.5804886,1127631,LARGE,0,weekly
2,Zimnicea,Teleorman,43.6578297,25.360575,1120065,LARGE,9,twice-a-week
3,Panet,Mures,46.5599133,24.435195,8478,SMALL,0,twice-a-week
4,Caracal,Olt,44.1157446,24.3424754,787836,MEDIUM,17,twice-a-week
5,Voitinel,Suceava,47.8804611,25.7493649,430984,MEDIUM,5,weekly
6,Cheresig,Bihor,47.0326903,21.6750289,939962,MEDIUM,11,bi-weekly
7,Rogoz,Maramures,47.4688357,23.9322483,750924,MEDIUM,12,bi-weekly
8,Lunca de Jos,Harghita,46.6445544,25.9561808,1255089,LARGE,6,weekly
9,Tasnad,Satu Mare,47.4783904,22.5817433,958609,MEDIUM,7,bi-weekly
10,Valea Ursului,Iasi,47.1351816,27.4860171,1193163,LARGE,19,bi-weekly
11,Iasi,Iasi,47.1584549,27.6014418,566790,MEDIUM,19,weekly
12,Poiana Marului,Brasov,45.6049511,25.3075907,327776,SMALL,1,bi-weekly
13,Brazii de Jos,Prahova,44.8507992,26.0333732,594975,MEDIUM,13,weekly
14,Chitesti,Arges,44.8599742,25.137839,791489,MEDIUM,10,twice-a-week
15,Buzau,Buzau,45.1371109,26.8171122,989575,MEDIUM,13,twice-a-week
16,Targu Jiu,Gorj,45.0314279,23.2689393,1929654,LARGE,18,bi-weekly
17,Almasu,Salaj,46.966232,23.0986992,778871,MEDIUM,7,weekly
18,Paclisa,Hunedoara,45.5630744,22.8801602,322027,SMALL,4,twice-a-week
19,Brazii de Jos,Prahova,44.8507992,26.0333732,627009,MEDIUM,13,weekly
20,Poiana Ilvei,Bistrita-Nasaud,47.3558143,24.7451705,568202,MEDIUM,15,weekly
21,Buzau,Buzau,45.1371109,26.8171122,1040740,LARGE,13,weekly
22,Slatioara,Olt,44.3992805,24.3248738,29601,SMALL,17,bi-weekly
23,Fantanele,Mures,46.421745,24.7657281,831630,MEDIUM,6,twice-a-week
24,Praid,Harghita,46.5553429,25.1272723,878253,MEDIUM,6,bi-weekly
25,Polovragi,Gorj,45.1779928,23.7972575,916090,MEDIUM,18,weekly
26,Curtea de Arges,Arges,45.1405966,24.6685182,501341,MEDIUM,10,twice-a-week
27,Vulturu,Vrancea,45.6179023,27.4194359,681039,MEDIUM,3,bi-weekly
28,Rosiori de Vede,Teleorman,44.1085569,24.9949784,87969,SMALL,9,twice-a-week
